ID,AT,V,AP,RH,EP
1415,26.67,70.94,1007.7,56.56,439.13
1416,10.25,41.46,1018.67,84.41,479.28
1417,24.88,51.43,1011.28,67.38,441.03
1418,18.19,43.96,1011.87,79.68,464.58
1419,14.81,39.58,1011.62,73.64,467.32
1420,21.93,60.84,1018.96,76.8,440.76
1421,12.19,41.17,1019.43,65.47,475.64
1422,10.39,39.69,1003.31,89.6,473
1423,9.44,41.79,1020.16,72.26,474.03
1424,12.57,41.79,1014.99,87.8,461.88
1425,30.25,71.8,1010.87,60.4,437.28
1426,26.42,59.39,1013.95,66.03,438.54
1427,9.03,40.71,1025.98,81.94,484.97
1428,14.03,49.15,1020.5,83.65,467.16
1429,29.03,69.51,1009.8,47.04,435.09
1430,29.65,71.25,1001.07,73.97,430.88
1431,14.55,42.74,1027.29,66.64,457.77
1432,11.98,39.35,1014.97,98.05,472.43
1433,33.27,66.44,1010.63,43.47,430.11
1434,14.93,39.39,1014.31,80.68,468.88
1435,13.53,40.71,1023.83,61.59,474.7
1436,13.9,39.59,1011.84,94.74,465
1437,30.82,78.87,1012.06,70.69,432.01
1438,30.18,65.74,1012.63,47.74,441.65
1439,15.47,38.73,1001.13,77.61,467.96
1440,19.59,66.54,1012.73,85.84,447.16
1441,33.63,77.54,1009.82,58.04,431.81
1442,21.31,58.66,1012.67,69.36,451.96
1443,15.4,40.69,1015.1,70.25,471.66
1444,28.31,74.34,998.42,79.23,431.95
1445,12.82,46.18,1018.53,88.46,466.06
1446,16.77,38.01,1023.04,65.5,460.16
1447,25.97,69.34,1009.43,88.11,435.02
1448,10.31,40.67,1017.61,69.61,485.25
1449,18.97,43.43,1012.72,75.69,453.2
1450,24.57,51.95,1005.8,70.07,448.15
1451,11.94,44.6,1018.69,85.33,468.53
1452,24.4,60.32,1016.5,70.96,447.73
1453,17.02,44.85,1014.38,62.66,459.98
1454,22.76,58.96,1013.85,55.95,454.05
1455,25.75,60.95,1014.75,53.3,443.73
1456,22.04,58.05,1013.11,85.22,447.28
1457,33.58,77.54,1010.19,53.49,433.75
1458,18.02,53.16,1013.41,82.84,458.01
1459,10.22,41.74,1022.65,83.58,479.01
1460,12.27,41.17,1019.39,52.18,473.84
1461,15.08,37.85,1009.85,85.9,465.58
1462,29.05,75.6,1017.63,51.16,439.14
1463,20.01,56.65,1020.77,74.46,457.01
1464,30.05,69.34,1008.26,61.5,436.82
1465,24.56,63.21,1013.79,82.38,444.34
1466,16.02,71.14,1019.75,70.42,456.35
1467,14.23,46.18,1017.39,87.29,463.86
1468,27.18,62.66,1009.89,52.83,442.16
1469,9.72,41.44,1015.17,84.41,481.85
1470,15.03,40.66,1016.58,84.08,459.46
1471,14.87,41.2,1016.27,70.51,467.01
1472,25.54,48.41,1010.51,55.34,437.58
1473,29.77,67.07,1005.82,48.38,433.89
1474,32.49,71.32,1005.03,57.12,433.59
1475,25.86,60.32,1015.91,53.37,446.58
1476,13.52,41.44,1015.81,65.97,472.11
1477,18,52.08,1003.07,100.09,450.85
1478,14.14,39.59,1010.84,96.02,465.23
1479,6.89,43.65,1019.87,72.77,484
1480,11.48,37.92,1008.47,70.55,472.9
1481,24.93,73.5,1011.28,83.09,437.35
1482,24.21,70.98,1007.02,95.57,441.78
1483,14.81,40.71,1018.54,73,467.66
1484,24.78,50.78,1008.81,62.97,443.98
1485,23.64,63.31,1014.5,61.83,440.7
1486,24.31,65.34,1013.82,63.85,449.88
1487,21.16,65.48,1016.99,72.79,446.37
1488,6.79,40,1019.01,81.83,480.83
1489,21.83,63.87,1018.93,63.07,452.21
1490,16.22,46.36,1020.04,91.73,460.73
1491,23.86,52.84,1006.56,48.94,444.66
1492,28.44,67.07,1006.08,50.42,433.15
1493,29.6,71.58,1010.34,52.56,434.64
1494,12.17,49.83,1008.05,96.44,469.52
1495,31.67,69.68,1012.38,46.52,439.72
1496,15.86,49.69,1015.59,87.26,462.84
1497,31.11,71.8,1010.81,56.08,437.2
1498,8.26,40.96,1025.23,89.22,485.73
1499,15.5,49.25,1021.41,77.92,453.99
1500,18.2,52.72,1025.87,54.26,463.47
1501,26.1,62.91,1012.44,60.91,446.05
1502,23.94,62.08,1022.47,61.97,447.5
1503,17.12,48.6,1007.38,79.15,454.47
1504,24.67,61.5,1009.06,72.77,437.37
1505,10.25,37.14,1013.14,70.73,474.37
1506,27.25,50.05,1006.53,60.64,439.63
1507,30.4,77.3,1002.44,59.42,438.43
1508,6.9,39.81,1016.74,88.24,481.88
1509,11.77,42.03,1017.63,79.35,472.22
1510,30.56,72.39,999.96,69.81,430.85
1511,14.91,39.28,1014.57,75.23,469.34
1512,12.27,41.17,1019.39,52.18,473.84
1513,6.93,40.67,1020.17,71.16,494.61
1514,9.55,39.66,1018.8,74.88,480.74
1515,12.99,41.93,1020.25,74.64,472.95
1516,27.2,65.12,1016.2,44.95,442.54
1517,17.03,47.83,1004.94,79.68,460.43
1518,9.12,41.49,1020.58,96.23,475.69
1519,11.8,41.54,1020,65.85,476.12
1520,19.78,54.42,1011.74,89.34,456.84
1521,10.51,39.04,1023.95,85.35,479.15
1522,19.82,58.16,1016.76,74.66,455.5
1523,15.72,41.76,1023.07,66.95,462.19
1524,11.2,41.38,1021.65,61.89,476.87
1525,31.5,70.32,1011.44,64.09,435.13
1526,27.37,70.72,1009.77,67.87,441.9
1527,17.16,40.55,1000.26,72.21,461.58
1528,12.85,41.14,1027.04,86.29,464.86
1529,21.38,60.84,1017.94,82.83,445.8
1530,22.63,57.17,1009.83,77.43,433.54
1531,21.62,50.05,1007.2,92.9,444.16
1532,27.28,51.43,1011.46,51.38,450.53
1533,24.17,71.25,1003.9,90.36,435.66
1534,23.09,70.02,1010.58,77.85,443.27
1535,32.92,69.05,1000.74,39.61,426.61
1536,10.05,37.14,1012.64,75.97,474.16
1537,11.86,40.55,1019.82,91.45,473.31
1538,18.39,67.71,1003.77,92.48,444.63
1539,9.37,42.32,1015.15,82.96,477.57
1540,14.64,45,1021.78,41.25,475.98
1541,29.92,67.22,1014.09,50.62,444.78
1542,15.21,43.56,1012.92,56.61,467
1543,20.51,39.72,1002.25,47.97,452.39
1544,13.93,44.21,1022.26,82.4,469.12
1545,24.17,71.58,1010.16,89.96,436.27
1546,5.1,35.57,1027.17,80.49,489.96
1547,19.18,65.06,1015.99,77.06,448.26
1548,31.9,69.4,1003.4,57.76,436.04
1549,8.41,40.67,1019.97,69.2,489.25
1550,13.45,45.87,1008.42,87.74,464.59
1551,30.01,69.13,1010.11,62.42,425.75
1552,27.49,63.78,1015.43,47.45,445.66
1553,23.84,49.21,1013.6,47.63,447.03
1554,13.72,54.3,1017.89,79.08,467.05
1555,21.49,68.28,1004.68,80.64,438
1556,10.01,41.17,1018.78,86.84,479.4
1557,9.6,42.03,1017.66,92.27,474.65
1558,22.46,48.41,1008.66,80.85,442.57
1559,23.88,51.95,1005.37,75.25,449.52
1560,20.77,69.51,1012.96,62.89,442.82
1561,8.6,42.28,1008.58,80.15,484.21
1562,13.47,41.14,1026.09,82.96,463.67
1563,23.49,47.45,1008.46,66.18,446.72
1564,14.41,40.83,1009.82,80.43,470.13
1565,16.34,41.48,1015.92,48.24,453.6
1566,22.71,75.23,1010.48,76.86,444
1567,20.55,46.21,1013.21,73.18,448.66
1568,28.82,65.71,1014.24,54.3,449.18
1569,26.85,75.6,1017.43,74.55,433.48
1570,32.31,62.04,1010.41,39.39,450.13
1571,27.89,73.21,1001.32,85.88,431.59
1572,23.95,51.86,1014.24,68.28,449.81
1573,18.81,49.15,1020.79,67.09,459.81
1574,23.1,72.99,1008.85,90.54,440.46
1575,31.04,66.54,1003.83,53.05,431.66
1576,5.91,39.33,1010.18,95.53,491.49
1577,25.68,58.41,1013.71,70.61,440.78
1578,5.51,41.03,1022.28,84.5,491.84
1579,8.19,40.69,1019.86,85.23,477.76
1580,18.68,53.29,1018.16,75.01,459.89
1581,32.87,70.8,1009.54,59.85,433.1
1582,24.1,68.08,1012.73,65.24,440.33
1583,8.76,40.96,1025.21,90.72,483.79
1584,24.84,56.89,1012.15,67.24,440.36
1585,12.87,39.3,1020.64,74.38,467.54
1586,28.28,68.67,1006.36,69.9,435.29
1587,26.48,51.43,1006.76,74.3,438.1
1588,20.28,48.78,1017.4,82.51,451.59
1589,12.99,44,1025.22,90.27,470.93
1590,15.24,39.39,1013.01,74.24,469.79
1591,24.11,68.3,1017.33,79.16,432.62
1592,17.78,52.08,1006.9,100.09,453.31
1593,21.43,63.94,1012.68,99.68,445.29
1594,33.43,66.44,1010.29,53.45,433.01
1595,19.26,44.34,1019.45,51.32,467.72
1596,25.1,61.47,1007.84,75.75,447.27
1597,10.48,36.71,1023.18,81.37,473.3
1598,21.09,74.93,1015.11,81.93,443.51
1599,7.77,41.82,1032.72,72.8,479.4
1600,14.04,42.44,1012.74,81.89,471.81
1601,11.58,40.66,1017,97.13,466.42
1602,21.61,41.54,1014.5,75.62,458.47
1603,24.41,56.9,1006.58,77.94,439.51
1604,24.22,61.86,1013.39,80.11,442.65
1605,14.48,44.06,1018.73,75.88,467.46
1606,20.61,44.63,1008.54,77.54,456.68
1607,11.3,43.14,1019.56,99.83,469.73
1608,26.31,52.09,1013.39,53.59,447.04
1609,6.77,39.81,1017.01,87.68,488.27
1610,23.11,68.3,1017.83,86.62,437.91
1611,26.53,69.71,1009.88,76.26,446.17
1612,17.48,58.95,1016.49,90.35,449.26
1613,15.08,42.77,1018.43,73.19,461.68
1614,22.43,63.76,1009.84,75.27,442.85
1615,11.8,42.34,1020.25,93.54,466.52
1616,34.24,74.67,1016.24,25.56,425.58
1617,16.65,46.18,1010.6,95.69,465.6
1618,26.17,66.54,1002.23,75.6,433.81
1619,21.04,65.46,1017.22,63.02,452.12
1620,27.76,69.4,1004.27,72.25,430.68
1621,22.88,59.21,1011.51,86.93,440.25
1622,23.99,67.69,1007.9,78.57,437.1
1623,26.08,76.86,1003.3,79.49,436.85
1624,24.31,44.05,1006.16,73.3,442.69
1625,21.92,49.02,1009.29,88.56,443.31
1626,30.04,68.08,1011.04,51.01,429.52
1627,23.58,70.04,1010.95,76.32,435.47
1628,20.48,60.29,1017.16,72.1,455.51
1629,24.31,58.62,1017.29,64.44,449.12
1630,14.84,38.91,1013.78,69.27,467.83
1631,27.43,56.85,1011.86,36.76,436.64
1632,23.07,49.02,1009.07,84.1,444.22
1633,14.26,44.2,1019.81,76.46,462.87
1634,9.3,43.14,1010.99,88.12,477.02
1635,19.2,58.71,1009.8,84.62,448.17
1636,17.69,65.46,1013.72,67.28,448.49
1637,28.87,57.19,1008.09,64.29,435.57
1638,10.02,42.44,1014.57,99.16,478.5
1639,26.82,69.23,1013.28,50.86,436.36
1640,19.64,44.6,1015.88,47.56,467.53
1641,17.75,49.78,1004.49,100.09,452.02
1642,26.2,71.14,1007.92,72.95,431.7
1643,13.97,38.47,1015.15,55.28,464.3
1644,12.14,45,1023.9,89.2,476.6
1645,13.7,43.22,1012.01,71.57,463.99
1646,32.21,68.3,1014.94,49.38,429.66
1647,10.33,40.6,1015,88.62,478.3
1648,22.44,63.47,1012.02,91.08,444.65
1649,10.19,44.63,1020.58,91.64,472.45
1650,10.06,42.02,999.37,98.65,477.82
1651,11.42,41.54,1020.21,71.57,477.5
1652,25.85,67.69,1007.7,70.14,434
1653,30.18,68.24,1009.31,64.06,427.38
1654,20.78,58.86,1016.02,77.29,446.2
1655,16.84,56.03,1020.25,70.37,437.14
1656,26.94,71.14,1011.63,62.74,434.03
1657,29.05,71.85,1008.6,78.69,428.39
1658,27.63,71.98,1005.45,82.88,426
1659,30.24,73.9,1006.74,56.39,441.31
1660,23.43,54.42,1013.58,70.99,454.86
1661,28.64,73.4,1011.48,52.84,441.32
1662,14.22,42.32,1015.54,77.23,465
1663,12.75,44.03,1007.29,89.46,465.86
1664,27.25,69.98,1008.55,59.55,431.44
1665,10.29,41.74,1019.9,80.51,480.62
1666,25.36,60.07,1015.06,66.11,439.73
1667,9.75,40.81,1026,84.44,481.95
1668,28.61,69.84,1004.24,67.74,429.91
1669,21.11,58.49,1011.6,80.44,449.16
1670,12.81,45.51,1015.46,79.97,469.27
1671,26.87,74.99,1002.48,71.91,437.78
1672,24.41,52.3,1006.28,70.33,442.62
1673,3.99,39.64,1011.53,83.58,492.06
1674,31.52,76.2,1008.31,57.35,435.31
1675,15.83,45.01,1013.39,81.9,460.22
1676,15.86,38.62,1016.65,67.51,462.58
1677,29.96,70.04,1010.15,54.47,427.1
1678,28.07,61.47,1008.68,64.83,442.59
1679,23.15,66.48,1003.71,76,435.62
1680,24.49,65.46,1015.77,44.95,445.27
1681,10.08,40.72,1022.7,67.3,480.8
1682,30.2,71.8,1011.13,60.66,436.94
1683,14.04,40.83,1008.98,82.04,469.75
1684,18.84,40.79,1005.18,92.46,459.96
1685,29.04,60.07,1014.88,47.23,438.5
1686,17.98,39.63,1005.42,82.12,466.69
1687,28.62,69.98,1013.3,68.53,432.11
1688,28.71,51.43,1006.4,64.79,440.17
1689,22.99,46.93,1014.15,49.42,451.41
1690,29.4,57.19,1008.34,53.95,436.92
1691,13.44,41.14,1026.41,77.26,461.44
1692,18.72,60.07,1015.81,70.55,454.35
1693,27.53,72.58,1009.13,89.06,428.83
1694,24.64,58.49,1011.2,72.67,444.95
1695,31.38,70.83,1010.35,47.28,431.33
1696,30.92,78.05,1011,59.62,434.12
1697,31.68,70.79,1004.05,54.5,429.55
1698,9.88,40.71,1015.34,84.32,471.8
1699,5.07,40.07,1019.32,66.17,494.87
1700,8.61,41.04,1024.81,95.6,473.62
1701,10.72,41.38,1021.6,63.77,478.29
1702,14.2,52.75,1025.64,61.02,465.48
1703,30.66,73.77,1003.13,78.09,430
1704,29.56,73.88,1005.77,66.45,436.6
1705,28.31,74.33,1011.89,69.77,428.46
1706,9.06,41.92,1029.9,90.88,473.37
1707,29.68,64.33,1011.2,57.73,441.79
1708,21.5,50.59,1017.08,65.28,453.8
1709,21.14,58.98,1009.05,94.36,448.31
1710,14.97,43.67,1011.13,87.33,465.54
1711,19.51,66.51,1015.28,80.75,448.04
1712,21.69,44.57,1005.84,71.53,447.88
1713,26.93,59.54,1004.02,75.5,437.58
1714,28.33,64.96,999.71,69.66,427.42
1715,25.88,66.48,1004.24,63.16,434.4
1716,29.76,57.19,1008.59,51.1,436.21
1717,15.51,41.76,1022.81,69.55,463.82
1718,6.49,38.68,1017.94,64.81,485.95
1719,11.56,39.28,1011.27,82.05,477.71
1720,18.43,57.76,1016.13,87.34,452.65
1721,19.68,56.65,1020.75,67.25,456.89
1722,25.03,47.93,1003.02,62.89,443.55
1723,19.63,52.72,1025.09,51.16,459.12
1724,23.21,63.94,1013.56,80.23,446.11
1725,20.73,41.1,1001.86,47.51,456.44
1726,33.4,69.98,1013.29,47.78,432.44
1727,22.4,68.31,1009.52,83.5,446.91
1728,19.34,64.79,1018.03,84.77,454.59
1729,24.92,48.92,1010.11,36.53,445.56
1730,21.95,68.08,1012.91,69.36,443.93
1731,11.47,43.67,1012.68,72.51,475.72
1732,19.76,48.92,1010.48,46.57,456.69
1733,27.29,67.32,1013.92,33.41,437.26
1734,25.95,59.14,1016.42,67.03,438.46
1735,8.44,41.17,1019.9,70.72,486.15
1736,25.04,51.95,1005.56,66.53,449.45
1737,13.4,41.78,1010.2,64.57,466.68
1738,5.75,42.07,1004.24,78.23,485.23
1739,11.28,40.55,1006.23,97.78,475.14
1740,8.48,42.49,1010.77,88.68,483.5
1741,27.78,60.07,1014.66,53.74,439.43
1742,16.79,49.25,1021.21,68.8,458.42
1743,11.79,45.09,1013.16,89.17,469.49
1744,18.03,53.16,1013.1,81.42,457.73
1745,6.65,38.5,1014.01,87.6,491.54
1746,13.2,44.9,1022.43,87.68,468.92
1747,25.51,64.27,1013.28,61.85,444.76
1748,13.61,42.34,1017.57,91.35,465.65
1749,28.8,71.58,1010.51,59.87,434.82
1750,13.58,40.75,1016.05,76.45,472.73
1751,8.85,41.06,1020.99,86.05,486.4
1752,14.92,46.18,1014.21,98.82,465.63
1753,23.42,50.05,1006.79,86.45,441.8
1754,27.64,75.6,1017.35,54.78,441.04
1755,18.63,48.92,1011.37,71.72,450.29
1756,19.66,42.18,1001.51,95.75,454.46
1757,20.92,57.76,1017.22,75.86,453.96
1758,23.06,56.85,1012.5,64.03,440.03
1759,17.19,37.2,1011.84,67.59,468.4
1760,31.26,68.94,1005.94,39.49,438.03
1761,6.24,35.77,1019.24,70.7,483.36
1762,23.21,62.44,1011.78,76.66,442.47
1763,10.08,41.16,1023.14,96.03,469.17
1764,31.35,71.97,1008.29,72.26,430.16
1765,10.46,37.5,1013.12,76.74,472.16
1766,23.09,60.95,1015.02,68.78,450.31
1767,29.12,73.06,1009.98,80.21,434.9
1768,29.83,71.98,1004.32,67.55,426.98
1769,21.86,49.21,1014.61,53.31,452.77
1770,9.64,40.56,1022.51,78.62,483.39
1771,22.07,70.72,1010.52,82.96,442.88
1772,12.27,43.8,1023.21,57,468.55
1773,17.37,57.76,1016,86.59,456.4
1774,14.85,40.69,1014.91,72.64,469.3
1775,15.33,52.05,1014.15,80.56,452.82
1776,25.06,78.92,1010.74,90.7,434.55
1777,23.09,63.91,1012.23,83.25,447.9
1778,22.56,62.26,1012.11,63.16,445.33
1779,8.37,39.99,1010.36,93.26,482.31
1780,16.22,41.35,1000.96,79.59,462.21
1781,9.28,40.22,1009.23,88.43,480.73
1782,18.58,63.78,1016.24,78.74,453.96
1783,22.03,59.43,1006.88,82.05,442.9
1784,8.36,38.91,1016.27,88.82,482.09
1785,32.67,77.95,1014.62,50.73,432.32
1786,9.21,39.72,1019.54,74.44,478.96
1787,9.39,41.79,1021.6,50.09,473.73
1788,14.21,39.16,1016.5,85.09,473.87
1789,7.65,36.3,1016.5,65.51,482.56
1790,9.72,39.66,1018.31,76.07,480.05
1791,13.69,40.83,1008.53,84.81,471.26
1792,31.06,67.17,1007.62,65.54,437.91
1793,34.2,68.14,1002.7,56.09,427.05
1794,18.19,66.54,1012.9,86.05,449.22
1795,24.04,51.95,1006.13,73.92,450.07
1796,24.33,68.08,1013.02,64.81,442.93
1797,11.4,52.75,1023.31,75.7,465.79
1798,15.02,41.48,1015.19,58.69,456.04
1799,9.44,39.82,1013.26,91.55,483.18
1800,14.56,39.39,1014.23,80.61,471.72
1801,20.79,57.32,1012.47,70.09,446.18
1802,29.08,66.54,1004.67,64.5,430.16
1803,15.58,40.66,1016.34,87.42,460.61
1804,23.3,72.99,1008.54,92.11,437.62
1805,20.54,49.15,1021.02,56,458.6
1806,15.31,40.66,1016.46,84.64,458.26
1807,22.5,59.43,1010.31,72.17,441.92
1808,18.2,49.39,1018.83,96.3,455.86
1809,5.19,40.78,1025.24,95.07,482.46
1810,25.68,70.32,1009.08,90.48,431.32
1811,25.37,68.31,1011.12,70.99,441.76
1812,12.72,40.71,1016.02,71.57,466.99
1813,21.39,64.27,1011.71,95.39,445.12
1814,30.18,61.5,1009.8,36.81,436.92
1815,6.05,41.14,1027.69,86.93,481.02
1816,23.95,73.67,1007.32,87.67,437.43
1817,26.39,66.49,1012.96,60.35,433.36
1818,20.77,52.05,1012.22,45.61,455.02
1819,7.5,40.02,1031.39,82.53,476.01
1820,16.88,38.58,1014.72,73.99,462.7
1821,9.6,41.03,1021.01,69.03,481.73
1822,10.5,39.28,1016.55,91.75,480.92
1823,25.23,66.44,1011.37,51.3,438.28
1824,25.04,70.47,1006.82,84.75,433.1
1825,22.86,66.48,1003.77,71.22,435.56
1826,8.62,39.54,1011.64,82.86,483.03
1827,14.77,44.9,1020.5,84.31,465.23
1828,26.71,70.72,1010.3,78.18,438.72
1829,24.15,71.73,1009.76,85.16,436.55
1830,25.38,71.73,1009.97,72.6,434.44
1831,11.6,40.27,1008.55,72.12,473.89
1832,24.62,70.47,1010.55,72.71,435.88
1833,14.07,40.78,1024.67,72.66,456.71
1834,13.35,39.18,1023.24,61.98,469.34
1835,7.9,43.79,1016.14,83.05,485.26
1836,24.54,48.06,1013.02,55.18,443.67
1837,14.39,44.84,1023.55,91.14,464.15
1838,18.48,58.59,1015.61,85.14,452.52
1839,26.96,73.68,1013.81,84.77,429.48
1840,28.09,70.02,1010.84,51.29,437.83
1841,22.2,51.19,1009.2,82.95,445.54
1842,15.16,50.88,1013.88,100.11,460.03
1843,6.06,41.17,1019.67,84.7,489.62
1844,18.12,58.95,1017.82,86.16,449.28
1845,30.69,69.89,1013.9,42.85,431.01
1846,28.51,76.09,1007.88,78.2,438.28
1847,13.19,44.88,1017.61,94.95,467.68
1848,33.18,72.29,1009.51,58.35,435.26
1849,28.92,61.02,1011.19,56.13,436.76
1850,23.49,42.8,1013.96,65.31,459.9
1851,23.17,51.19,1009.5,76.15,441.77
1852,3.99,39.9,1009.74,96.81,490.91
1853,20.94,44.89,1009.64,75.14,450.71
1854,26.95,70.79,1004.09,75.35,430.07
1855,27.05,77.95,1009.57,76.56,434.09
1856,16.38,46.97,1013.6,73.67,459.87
1857,4.15,39.9,1008.84,96.68,491.22
1858,11.78,39.96,1011.37,82.95,472.79
1859,18.61,47.83,1006.43,78.89,454.21
1860,22.05,48.14,1015.81,69.94,447.37
1861,32.2,72.29,1008.61,69.94,432.52
1862,6.25,40.02,1032.14,80.22,481.38
1863,12.91,40.73,1017.66,93.66,464.61
1864,24.34,50.16,1004.78,74,445.33
1865,29.29,57.19,1008.3,60.11,435.69
1866,21.71,60.27,1015.74,89.76,441.19
1867,12.26,39.96,1011.79,79.06,470.87
1868,8.28,40.56,1023.29,79.44,486.4
1869,12.56,43.41,1016.93,81.02,467.19
1870,29,77.54,1011.33,75.13,431.37
1871,27.63,70.17,1000.42,85.22,432.46
1872,12.74,49.83,1007.44,91.47,466.09
1873,28.84,74.9,1004.38,66.86,436.42
1874,24.35,60.27,1017.6,75.45,441.74
1875,23.37,63.87,1016.67,60.44,446.42
1876,23.63,73.18,1012.29,88.81,437.7
1877,19.9,56.53,1020.52,78.05,456.48
1878,7.69,39.96,1023.9,89.18,478.05
1879,4.47,35.19,1018.78,92.68,487.43
1880,21.07,67.07,1004.64,86.16,446.05
1881,12.24,44.9,1020.31,82.22,464.25
1882,10.62,39.58,1011.9,87.85,479.91
1883,21.23,57.32,1010.99,75.17,443.87
1884,12.39,44.58,1016.38,84.95,475.37
1885,11.8,41.2,1017.18,82.71,475.19
1886,6.13,39.48,1005.17,53.5,484.12
1887,9.38,44.77,1020.41,85.26,473.9
1888,23.44,72.24,1011.28,88.03,438.34
1889,18.85,48.06,1012.52,67.88,451.77
1890,17.21,52.9,1019.91,77.31,460.88
1891,22.96,68.61,1011.15,76.62,447.18
1892,27.62,63.9,1013.11,43.56,442.89
1893,23.41,54.42,1012.86,70.12,454.68
1894,10.2,41.01,1021.39,96.64,468.27
1895,19.69,56.65,1020.72,70.86,456.18
1896,28.38,64.05,1010.19,71.84,439.83
1897,30.01,68.27,1006.88,51.67,428.6
1898,10.59,41.54,1019.94,73.88,477.05
1899,6.13,40.64,1020.69,94.57,481.13
1900,15.95,42.24,1017.71,69.32,465.35
1901,25.16,47.01,1014.99,64,452.64
1902,20.3,44.9,1008.25,64.08,457.6
1903,27.06,70.47,1007,72.37,430.82
1904,31.81,69.88,1007.94,55.91,432.6
1905,32.1,69.98,1013.31,55.84,431.09
1906,22.58,59.14,1017.2,80.91,439.78
1907,6.75,39.37,1020.26,70.99,486.26
1908,20.18,56.53,1020.3,77.1,454.14
1909,12.68,41.4,1021.59,78.57,466.64
1910,28.98,73.42,1011.25,72.9,432.2
1911,23.55,51.95,1006,76.46,449.54
1912,12.68,45,1022.54,77.19,479.69
1913,17.34,47.03,1013.36,98.13,463.89
1914,13.42,48.04,1011.63,99.32,461.36
1915,24.43,47.45,1007.68,65.18,446.45
1916,28.13,68.12,1012.6,44.71,435.85
1917,28.69,67.25,1017.71,53.83,432.21
1918,11.09,42.44,1014.18,92.81,478.37
1919,14.3,41.93,1020.6,65.38,471.32
1920,15.08,42.77,1018.67,73.89,461.6
1921,24.42,64.79,1016.12,69.32,449.1
1922,7.4,41.03,1022.09,74.83,486.81
1923,17.18,63.09,1020.67,93.58,451.37
1924,11.92,40.62,1015.91,55.4,464.9
1925,24.77,71.94,1006.77,88.86,432.27
1926,17.27,40.55,1000.89,70.66,461.31
1927,27.69,69.71,1009.9,69.91,440.43
1928,9.59,34.69,1027.65,75.32,478.88
1929,32.37,67.83,1008.32,57.39,426.76
1930,21.16,78.11,1006.73,78.11,435.71
1931,17.65,59.87,1018.58,94.65,450.93
1932,26.82,64.96,999.72,63.55,427.51
1933,26.68,62.91,1012.33,60.78,441.04
1934,31.12,69.13,1009.61,56.54,429.41
1935,10.66,41.93,1016.12,94.16,479.61
1936,13.87,49.83,1006.76,89.14,462.46
1937,19.68,51.19,1008.64,94.88,452.04
1938,7.94,43.65,1018.75,59.45,479.8
1939,27.51,73.77,1002.42,90.88,436.91
1940,17.68,45.17,1017.5,77.57,461.96
1941,9.27,39.64,1010.79,79.56,480.29
1942,28.24,71.58,1010.1,67.92,434.01
1943,23.59,43.77,1010.85,55.98,448.42
1944,29.25,72.99,1006.85,61.15,429.12
1945,24.6,48.78,1018.1,73.71,442.23
1946,21.09,67.07,1004.38,89.01,444.75
1947,6.77,40.78,1024.86,96.58,478.24
1948,7.76,37.7,1014.82,76.47,480.7
1949,9.51,43.79,1016.02,79.81,481.12
1950,25.77,68.08,1010.99,73.58,433.46
1951,14.02,44.85,1016.54,75.73,469.53
1952,23.93,65.59,1011.09,87.26,444.9
1953,6.07,41.14,1027.57,86.98,480.19
1954,25.14,63.47,1012.58,70.27,443.93
1955,18.12,63.09,1019.32,89.21,449.65
1956,30.13,68.94,1005.88,40.71,441.78
1957,31.24,71.98,1004.66,57.17,426.93
1958,18.39,38.52,1019.66,66.93,453.89
1959,22.11,59.8,1016.74,73.9,453.45
1960,22.61,60.27,1018.81,83.27,440.98
1961,29.38,74.9,1003.25,72.19,433.74
1962,8.27,35.77,1015.3,73.36,478.13
1963,23.44,62.52,1016.46,67.21,447.19
1964,8.06,39.96,1024.23,94.48,476.03
1965,24.51,58.79,1016.11,61.7,443.5
1966,8.96,40.02,1031.21,82.32,475.47
1967,13.45,41.49,1020.19,88.72,467.3
1968,28.88,73.68,1015.25,47.73,432.93
1969,17.03,43.99,1021.5,82.32,460.25
1970,11.46,39.1,1010.17,100.15,470.55
1971,17.8,62.26,1011.81,89.81,451.62
1972,11.73,40.64,1020.68,96.98,477.06
1973,12.07,39.99,1009.7,93.27,473.06
1974,17.01,50.59,1015.8,80.95,463.4
1975,18.83,47.83,1005.58,77.07,454.23
1976,22.1,65.94,1009.79,67.57,443.95
1977,16.05,38.28,1014.38,73.89,466.75
1978,16.49,49.39,1018.1,93.13,461.54
1979,10.15,41.14,1025.5,91.54,473.56
1980,15.98,41.48,1017,55.73,456.31
1981,14.43,44.84,1024.34,84,467.45
1982,20.65,41.67,1012.76,45.27,455.5
1983,21.9,63.13,1011.54,81.83,447.4
1984,10.1,40.22,1007.1,90.36,478.43
1985,30.83,77.3,1001.7,57.85,435.87
1986,6.25,39.04,1019.65,71.27,484.14
1987,18.98,38.52,1018.85,63.16,454.6
1988,9.42,41.4,1030.38,87.8,472.99
1989,26.62,70.36,1005.15,84.99,441.28
1990,22.47,47.45,1007.62,76.65,447.14
1991,13.92,39.58,1012.5,80.28,465.67
1992,24.51,62.08,1022.58,57.44,447.04
1993,6.1,43.65,1018.07,75.85,485.24
1994,24.31,63.86,1019.47,58.54,442.69
1995,22.12,69.71,1009.7,90.22,434.42
1996,24.56,51.86,1014.43,68.85,447.57
1997,29.41,59.27,1011.36,52.37,441.99
1998,11.83,45.09,1013.11,88.52,470.32
1999,12.19,40.23,1017.76,81.44,474.92
